Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_sgd
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,8,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,2103.31
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5,8,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,1411.34
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,No OS,1.86,902.75
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,16,512GB SSD,AMD Radeon Pro 455,macOS,1.83,3983.8
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,8,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,2831.65
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,4,500GB HDD,AMD Radeon R5,Windows 10,2.1,628.0
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,16,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04,3359.75
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5,8,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,1819.16
Asus,ZenBook UX430UN,Ultrabook,14.0,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3,2347.15
Acer,Swift 3,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,1208.9
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD Graphics 620,No OS,1.86,618.42
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD Graphics 520,No OS,1.86,541.63
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,16,256GB SSD,AMD Radeon Pro 555,macOS,1.83,3830.75
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2,783.27
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,Intel Others,8,256GB SSD,Intel HD Graphics 615,macOS,0.92,1981.97
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,8,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,2384.12
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2,1169.65
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,16,512GB SSD,AMD Radeon Pro 560,macOS,1.83,4487.06
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce 940MX,No OS,2.2,783.43
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5,8,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22,1537.03
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Others,2,32GB Flash Storage,Intel HD Graphics 400,Windows 10,0.98,301.28
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,1568.43
HP,255 G6,Notebook,15.6,1366x768,AMD,4,500GB HDD,AMD Radeon R2,No OS,1.86,405.06
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62,1285.83
HP,15-BS101nv,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.91,1034.63
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD Graphics 520,Windows 10,2.3,657.26
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5,8,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,1725.43
